"Source IP"," Source Port"," Destination IP"," Destination Port"," Protocol"," Flow Duration"," Flow Bytes/s"," Flow Packets/s"," Flow IAT Mean"," Flow IAT Std"," Flow IAT Max"," Flow IAT Min","Fwd IAT Mean"," Fwd IAT Std"," Fwd IAT Max"," Fwd IAT Min","Bwd IAT Mean"," Bwd IAT Std"," Bwd IAT Max"," Bwd IAT Min","Active Mean"," Active Std"," Active Max"," Active Min","Idle Mean"," Idle Std"," Idle Max"," Idle Min","label"
"10.0.2.15","37628","213.239.216.222","443","6","452","0","4424.778761062","452","0","452","452","452","0","452","452","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","60031","195.154.82.180","443","6","296","0","6756.7567567568","296","0","296","296","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"37.97.149.8","443","10.0.2.15","59708","6","563","0","3552.3978685613","563","0","563","563","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","59717","37.97.149.8","443","6","158","0","12658.227848101","158","0","158","158","158","0","158","158","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","59279","213.239.216.222","443","6","716","0","2793.2960893855","716","0","716","716","716","0","716","716","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","59725","37.97.149.8","443","6","483","0","4140.7867494824","483","0","483","483","483","0","483","483","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","56662","195.154.82.180","443","6","433","0","4618.9376443418","433","0","433","433","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"37.97.149.8","443","10.0.2.15","37132","6","129417","0","23.1808804098","64708.5","91406.986497204","129343","74","64708.5","91406.986497204","129343","74","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"37.97.149.8","443","10.0.2.15","49924","6","204","0","9803.9215686275","204","0","204","204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","42742","213.239.216.222","443","6","190","0","10526.315789474","190","0","190","190","190","0","190","190","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
